channel_title,total_views,video_count
T-Series,834091964,92
Marvel Entertainment,586638237,57
Dude Perfect,561703434,39
ibighit,519121170,26
Ed Sheeran,480250035,17
20th Century Fox,426107465,52
PewDiePie,424224318,94
5-Minute Crafts,421036418,165
Universal Pictures,407387136,38
WWE,387732326,208
Sony Pictures Entertainment,387131598,30
Warner Bros. Pictures,373608201,62
TheEllenShow,373090456,231
TaylorSwiftVEVO,360883267,15
Speed Records,343735923,95
Jimmy Kimmel Live,343326607,200
jypentertainment,333933770,21
Logan Paul Vlogs,322159506,23
The Late Show with Stephen Colbert,314999797,271
EminemVEVO,311524852,19
