video_id,title,views,country
M4ZoCHID9GI,The Weeknd - Call Out My Name (Official Video),40838093,US
LsoLEjrDogU,Bruno Mars - Finesse (Remix) [Feat. Cardi B] [Official Video],40838093,CA
M4ZoCHID9GI,The Weeknd - Call Out My Name (Official Video),40838093,GB
LsoLEjrDogU,Bruno Mars - Finesse (Remix) [Feat. Cardi B] [Official Video],40838093,US
LJjsm6CVsG8,6IX9INE Billy (WSHH Exclusive - Official Music Video),40838093,GB
JNkTNAknE4I,Romeo Santos - Sobredosis (Official Video) ft. Ozuna,40838093,GB
LryQJ25CnKU,Jennifer Lopez - El Anillo (Official Video),40838093,US
LPTlvQ1Zet0,"21 Savage, Offset, Metro Boomin - Ric Flair Drip",40838093,GB
LsoLEjrDogU,Bruno Mars - Finesse (Remix) [Feat. Cardi B] [Official Video],40838093,GB
9TRjE7i0ERY,Yandel - Sólo Mía (Official Video) ft. Maluma,40838093,GB
J-dv_DcDD_A,ZAYN - Let Me (Official Video),40838093,GB
8q1NFlE17qs,Karol G - Pineapple,40838093,GB
FlsCjmMhFmw,YouTube Rewind: The Shape of 2017 | #YouTubeRewind,40838093,US
Iwz4P8HfGVM,"David Bisbal, Sebastian Yatra - A Partir De Hoy",40838093,GB
DkeiKbqa02g,"Calvin Harris, Dua Lipa - One Kiss (Official Video)",40838093,US
DqSBQqj94JU,"Dime Feat J Balvin, Bad Bunny, Arcangel, De La Ghetto, Revol",40838093,GB
Ck4xHocysLw,Ozuna - Única (Video Oficial) 🐻 A U R A,40838093,GB
FlsCjmMhFmw,YouTube Rewind: The Shape of 2017 | #YouTubeRewind,40838093,CA
JQbjS0_ZfJ0,"Kendrick Lamar, SZA - All The Stars",40838093,GB
J-dv_DcDD_A,ZAYN - Let Me (Official Video),40838093,US
7C2z4GqqS5E,BTS (방탄소년단) 'FAKE LOVE' Official MV,40838093,US
817P8W8-mGE,Ed Sheeran - Perfect Duet (with Beyoncé) [Official Audio],40838093,GB
BhIEIO0vaBE,To Our Daughter,40838093,CA
31OMf1H5Rk0,"Matt Hunter, Lele Pons - Dicen",40838093,GB
-BQJo3vK8O8,Maluma - El Préstamo (Official Video),40838093,US
6ZfuNTqbHE8,Marvel Studios' Avengers: Infinity War Official Trailer,40838093,IN
FlsCjmMhFmw,YouTube Rewind: The Shape of 2017 | #YouTubeRewind,40838093,GB
6ZfuNTqbHE8,Marvel Studios' Avengers: Infinity War Official Trailer,40838093,US
-BQJo3vK8O8,Maluma - El Préstamo (Official Video),40838093,CA
BQ31l1gPGKM,J. Balvin - Ahora,40838093,GB
4uTNVumfm84,Maroon 5 - Wait,40838093,GB
9jI-z9QN6g8,"Te Bote Remix - Casper, Nio García, Darell, Nicky Jam, Bad Bunny, Ozuna | Video Oficial",40838093,GB
6ZfuNTqbHE8,Marvel Studios' Avengers: Infinity War Official Trailer,40838093,GB
DkeiKbqa02g,"Calvin Harris, Dua Lipa - One Kiss (Official Video)",40838093,GB
BhIEIO0vaBE,To Our Daughter,40838093,GB
BhIEIO0vaBE,To Our Daughter,40838093,US
2Vv-BfVoq4g,Ed Sheeran - Perfect (Official Music Video),40838093,US
36tggrpRoTI,Shawn Mendes - In My Blood,40838093,GB
FlsCjmMhFmw,YouTube Rewind: The Shape of 2017 | #YouTubeRewind,40838093,IN
J6-8DQALGt4,Alexa Loses Her Voice – Amazon Super Bowl LII Commercial,40838093,GB
2Vv-BfVoq4g,Ed Sheeran - Perfect (Official Music Video),40838093,GB
FVRPzwb1Vi4,Natti Natasha ❌ Bad Bunny - Amantes de Una Noche 👩🏻 🌹🐰 [Official Video],40838093,GB
6ZfuNTqbHE8,Marvel Studios' Avengers: Infinity War Official Trailer,40838093,CA
0XElmYomloA,Zion & Lennox - La Player (Bandolera) I Video Oficial,40838093,GB
7C2z4GqqS5E,BTS (방탄소년단) 'FAKE LOVE' Official MV,40838093,CA
7C2z4GqqS5E,BTS (방탄소년단) 'FAKE LOVE' Official MV,40838093,GB
95Rzsn-zjr0,"Rae Sremmurd, Swae Lee, Slim Jxmmi - Powerglide ft. Juicy J",40838093,GB
6YNZlXfW6Ho,Ella Mai - Boo'd Up,40838093,GB
1Aoc-cd9eYs,Cobra Kai Ep 2 - Strike First - The Karate Kid Saga Continues,40838093,GB
MGYJuETPQEg,Post Malone Feat. Ty Dolla $ign - Psycho (Official Audio),40838093,GB
