channel_title,high_engagement_videos,avg_engagement,avg_views,total_views
Technical Guruji,75,0.1693333333333333,351540.3999999999,26365530
Mark Dice,45,0.1377777777777778,221101.53333333333,9949569
Rebel Media,35,0.1405714285714286,9625.142857142857,336880
Adda247 :Official Channel of BankersAdda & SSCAdda,34,0.12352941176470586,21354.58823529412,726056
SMTOWN,29,0.15172413793103448,2939163.448275862,85235740
Sharmaji Technical,24,0.17500000000000002,132008.0416666667,3168193
Mahendra Guru : Online Videos For Govt. Exams,17,0.12176470588235294,35611.64705882353,605398
Markiplier,15,0.13133333333333333,859441.0666666667,12891616
WiFiStudy,15,0.12733333333333335,37891.0,568365
Thomas Gauthier,14,0.17714285714285716,47703.42857142857,667848
IISuperwomanII,14,0.11999999999999998,756736.0714285714,10594305
Dr. Vivek Bindra: Motivational Speaker,13,0.15384615384615385,309468.6153846154,4023092
Elvish yadav,13,0.12384615384615384,1422427.5384615385,18491558
PewDiePie,12,0.135,2412127.333333334,28945528
jacksfilms,12,0.1175,1183303.6666666667,14199644
Steeper33,12,0.13833333333333334,5006.5,60078
Shri Devkinandan Thakur Ji,11,0.11545454545454546,37801.54545454545,415817
NikkieTutorials,10,0.146,1898210.5999999996,18982106
The Bong Guy,10,0.15,239337.2,2393372
Et tout le monde s'en fout,10,0.146,98478.40000000001,984784
