country_code,category_name,video_count,avg_views,avg_engagement
CA,Entertainment,8245,712562.224620984,0.028460885385081798
CA,News & Politics,2940,306531.6717687067,0.03075170068027215
CA,People & Blogs,2553,574044.8480219351,0.0330082256169213
CA,Comedy,1947,873212.0724191074,0.05553672316384175
CA,Sports,1932,800983.2313664597,0.018343685300207045
CA,Music,1568,3014883.6039540838,0.047946428571428536
CA,Howto & Style,1272,666156.6768867918,0.05779088050314464
CA,Film & Animation,1151,994067.0321459603,0.03007819287576022
CA,Gaming,771,718740.4798962381,0.05649805447470818
CA,Science & Technology,636,969419.3097484274,0.04679245283018869
CA,Education,590,460220.5135593219,0.05035593220338976
CA,Autos & Vehicles,248,482105.7298387097,0.04008064516129033
CA,Pets & Animals,212,555152.5943396223,0.05566037735849054
CA,Travel & Events,202,397354.2920792079,0.035891089108910916
CA,Shows,110,583093.736363636,0.01072727272727273
CA,Nonprofits & Activism,49,860495.8367346938,0.044081632653061226
CA,Movies,1,5661965.0,0.01
GB,Music,877,8236766.084378559,0.037502850627137985
GB,Entertainment,858,2334395.0734265735,0.03180652680652684
GB,People & Blogs,282,1188319.255319148,0.043262411347517724
GB,Sports,212,1070541.589622642,0.017877358490566035
GB,Comedy,205,1902747.9560975623,0.03678048780487805
GB,Film & Animation,198,2456915.3080808097,0.03060606060606061
GB,Howto & Style,190,471259.73684210505,0.04510526315789473
GB,Gaming,172,827220.5523255814,0.03534883720930231
GB,News & Politics,127,777382.8740157479,0.028188976377952753
GB,Science & Technology,42,2039719.5714285716,0.031666666666666676
GB,Pets & Animals,41,900459.731707317,0.03390243902439024
GB,Education,37,800770.945945946,0.04162162162162162
GB,Autos & Vehicles,14,1457631.9285714286,0.02428571428571429
GB,Travel & Events,10,1071762.2999999998,0.041
GB,Nonprofits & Activism,6,5092039.833333334,0.03666666666666667
GB,Shows,1,1709880.0,0.03
IN,Entertainment,7548,558014.3047164804,0.012998145204027539
IN,News & Politics,2505,297433.29780439177,0.009656686626746513
IN,People & Blogs,1232,450423.362824675,0.0179951298701299
IN,Music,1213,2015095.6281945605,0.023553173948887073
IN,Comedy,1114,717054.8114901257,0.048608617594254964
IN,Education,797,92618.26474278542,0.05547051442910911
IN,Film & Animation,522,1803888.6111111108,0.019693486590038296
IN,Howto & Style,478,826816.9330543932,0.017887029288702946
IN,Sports,347,1380284.4582132576,0.014063400576368875
IN,Science & Technology,300,664622.3466666669,0.09793333333333334
IN,Shows,121,649225.5371900827,0.008512396694214877
IN,Nonprofits & Activism,69,56945.043478260865,0.03478260869565218
IN,Autos & Vehicles,34,333265.3823529412,0.021470588235294123
IN,Gaming,20,3436401.9500000007,0.049
IN,Travel & Events,4,192907.75,0.02
IN,Movies,2,3862190.0,0.01
IN,Pets & Animals,1,2490776.0,0.08
US,Entertainment,1621,1623092.6088834072,0.02895126465144973
US,Music,801,4877962.702871411,0.04446941323345817
US,Howto & Style,594,915385.601010101,0.046734006734006746
US,Comedy,544,1422560.8676470597,0.04240808823529412
US,News & Politics,504,459934.5337301586,0.0186904761904762
US,People & Blogs,495,1317953.531313132,0.04151515151515153
US,Sports,449,1424202.2761692656,0.015456570155901992
US,Science & Technology,381,1119690.4803149614,0.032362204724409475
US,Film & Animation,320,2535136.968749997,0.02846874999999999
US,Education,251,607884.5378486057,0.03808764940239046
US,Pets & Animals,140,744318.8785714287,0.0362857142857143
US,Gaming,103,2325086.7669902924,0.03883495145631068
US,Autos & Vehicles,71,1449487.126760563,0.016619718309859154
US,Travel & Events,59,996254.0338983049,0.02135593220338983
US,Nonprofits & Activism,14,2218900.642857143,0.03142857142857143
US,Shows,4,762400.0,0.025
