channel_title,video_count,avg_views,avg_engagement,max_views,min_views
Prasadtechintelugu,8,51258.375,0.21625000000000003,84056,31417
KickThePj,6,90887.33333333334,0.18666666666666668,111864,65396
Thomas Gauthier,14,47703.42857142857,0.17714285714285713,109862,15135
MichelleRempel,10,5096.2,0.166,9303,2846
Clovis Blondin,5,2253.8,0.16400000000000003,2553,1683
The RawKnee Show,8,78527.75,0.16000000000000003,167886,48395
Dolan Twins,5,1195350.0,0.154,1924405,813161
ConnorFranta,7,185392.28571428574,0.15285714285714286,251710,138539
AmazingPhil,6,1278687.0,0.15166666666666667,2127874,810444
Captain Nick,5,173668.2,0.15,248514,57069
The Bong Guy,10,239337.2,0.15,349858,158699
Élie Pilon,6,13171.333333333332,0.14666666666666667,17340,9164
Scotty Sire,5,567560.2,0.14200000000000002,931571,184704
Et tout le monde s'en fout,11,95788.72727272726,0.14181818181818184,143407,68892
JOYCA,5,523295.0,0.14,646966,423010
Technical Guruji,111,443797.0180180179,0.13963963963963966,2630109,128086
NiallHoranVEVO,5,748649.0,0.138,1093385,505794
The Valleyfolk,5,229445.2,0.138,452811,35667
LE ROI DES RATS,8,408560.75000000006,0.13625,746349,201793
Mathieu Sommet,8,469706.625,0.1325,705841,276371
Mark Dice,53,243378.5849056604,0.1309433962264151,656796,130114
Sharmaji Technical,44,148368.24999999997,0.13022727272727275,497479,51413
BANGTANTV,12,4133547.333333334,0.12999999999999998,11381059,1378098
ElleOfTheMills,7,905324.1428571428,0.1285714285714286,1373069,490388
Rebel Media,49,14730.55102040816,0.12755102040816327,93339,3424
starshipTV,5,2952643.8,0.126,7604626,144189
Do It On A Dime,7,67070.14285714286,0.1257142857142857,80612,56972
CYR!L,14,688806.2857142857,0.125,1021692,288113
CarryMinati,8,2587903.0,0.125,3368378,1379923
Алексей Навальный,7,2541160.857142857,0.12428571428571429,5579079,1263320
