metric,country,mean,median,mode,std,min,max,q25,q75
views,All,1064764.4763786565,284163.0,40838093.0,3284276.023423206,559.0,40838093.0,107980.0,776998.0
likes,All,28141.033360208115,4395.0,1.0,87971.03394414709,1.0,985482.7099999998,1065.0,17791.0
dislikes,All,1292.613275214965,240.0,1.0,4451.979285029524,1.0,51197.80999999997,79.0,776.0
comment_count,All,3075.6849599857014,659.0,1.0,8819.364272653555,1.0,90062.90999999989,157.0,2175.0
engagement_ratio,All,0.030343547073892408,0.02,0.01,0.032136025529894086,0.0,0.5,0.01,0.04
like_dislike_ratio,All,34.719998808507256,17.5,1.0,53.20081951631834,0.04,2844.33,7.22,42.63
views,US,1780739.1769800032,518107.0,40838093.0,4494865.887822416,559.0,40838093.0,159156.5,1474750.5
likes,US,49720.89854511101,11906.0,985482.7099999998,122707.0498509108,1.0,985482.7099999998,2781.5,38428.5
dislikes,US,2114.1042009132416,445.0,1.0,5860.52686345151,1.0,51197.80999999997,127.0,1511.0
comment_count,US,5159.505325145646,1298.0,1.0,12083.46000393308,1.0,90062.90999999989,386.5,4158.5
engagement_ratio,US,0.033593134939379626,0.03,0.01,0.02688149748794195,0.0,0.23,0.01,0.05
like_dislike_ratio,US,41.244934655959696,26.49,1.0,51.4587823701204,0.05,1493.75,11.51,53.22
views,GB,3426436.226466993,597620.0,40838093.0,7783632.398356769,1014.0,40838093.0,165078.0,2414152.75
likes,GB,82402.00602995111,13401.0,985482.7099999998,180695.9765984056,1.0,985482.7099999998,3633.75,59992.5
dislikes,GB,3533.9545140586793,500.0,51197.80999999997,8874.844645055813,1.0,51197.80999999997,133.0,2199.75
comment_count,GB,7312.672108801954,1539.0,90062.90999999989,15980.877589548943,1.0,90062.90999999989,446.75,5545.0
engagement_ratio,GB,0.03461491442542788,0.03,0.02,0.02850131424225791,0.0,0.22,0.02,0.05
like_dislike_ratio,GB,47.09683985330073,28.985,19.25,60.90752594967997,0.04,840.75,14.055,56.832499999999996
views,CA,822042.616940271,287976.0,40838093.0,2234650.7069019186,1023.0,40838093.0,113908.0,718729.5
likes,CA,24660.807783190732,5536.0,1.0,70021.1309294299,1.0,985482.7099999998,1521.0,18749.5
dislikes,CA,1084.634051664142,223.0,1.0,3857.455541862421,1.0,51197.80999999997,75.0,678.0
comment_count,CA,3121.5549989765427,967.0,1.0,7857.4350489659355,1.0,90062.90999999989,299.0,2599.0
engagement_ratio,CA,0.0356814181029189,0.03,0.01,0.03361544388307052,0.0,0.33,0.01,0.05
like_dislike_ratio,CA,43.66078437794244,23.63,1.0,62.91476323134375,0.06,2844.33,9.785,55.665
views,IN,675632.2982154903,205800.0,40838093.0,2061650.4765308665,4024.0,40838093.0,88592.0,529516.0
likes,IN,14062.161943337218,1745.0,1.0,56148.70956878916,1.0,985482.7099999998,563.0,6462.0
dislikes,IN,834.4879971791255,195.0,1.0,2863.172752112397,1.0,51197.80999999997,70.0,593.0
comment_count,IN,1345.2481823756668,197.0,1.0,5597.874575657498,1.0,90062.90999999989,48.0,708.0
engagement_ratio,IN,0.02022505672410621,0.01,0.01,0.02998883029503283,0.0,0.5,0.0,0.02
like_dislike_ratio,IN,16.30254246642546,8.94,1.0,23.01126683360166,0.09,928.0,4.56,19.744999999999997
